scene,sample_id,json_file,vlm_scene_description,vlm_object_description,gt_object_labels,Lukelo Hallucinations,Lukelo Safety relevance,Lukelo Overall quality,Duoaa Hallucinations,Duoaa Safety relevance,Duoaa Overall quality
scene-0061,0,scene-0061_sample_0.json,"As an autonomous driving labeller, I would describe the driving scene based on the provided images and the information available at each 0.5-second interval over the past 5 seconds.
 
 ### Current Frame (0.5 seconds ago):
 - **Traffic Lights**: The traffic light is green, indicating that vehicles can proceed.
 - **Other Cars**: There are no other cars directly in front of the vehicle.
 - **Pedestrians**: There are no pedestrians visible in the immediate vicinity.
 - **Lane Markings**: The lane markings are clearly visible, indicating the direction of travel.
 - **Road Conditions**: The road appears to be clear with","In the driving scene, there are several road users that you should pay attention to:
 
 1. **Pedestrians**:
 - **Location**: The sidewalk on the left side of the image.
 - **Description**: Pedestrians are walking along the sidewalk. It is important to pay attention to them because they are vulnerable road users and their actions can be unpredictable. You need to be prepared to stop or slow down if they step onto the road or if they are crossing the street.
 
 2. **Construction Equipment**:
 - **Location**: The excavator on the left side of the image, near the sidewalk.
 -","['human.pedestrian.adult', 'human.pedestrian.construction_worker', 'movable_object.barrier', 'movable_object.pushable_pullable', 'movable_object.trafficcone', 'vehicle.bus.rigid', 'vehicle.car', 'vehicle.motorcycle', 'vehicle.truck']",3,2,3,3,3,4
scene-0061,4,scene-0061_sample_4.json,"As an autonomous driving labeller, I would describe the driving scene based on the provided images and the information available from the camera at a 0.5-second interval over the past 5 seconds.
 
 ### Current Frame (0.5 seconds ago):
 - **Traffic Lights**: The traffic light is green, indicating that it is safe to proceed.
 - **Other Cars**: There is a white van in front of the car, moving in the same direction. The van is positioned slightly to the left of the car.
 - **Pedestrians**: There are several pedestrians on the sidewalk, walking in various directions. Some are closer to the car","In the driving scene, there are several road users that you should pay attention to:
 
 1. **Pedestrians**:
 - **Location**: On the sidewalk and crossing the street.
 - **Description**: Pedestrians are walking on the sidewalk and crossing the street. They are important to pay attention to because they can suddenly enter the road, especially when crossing at intersections. This is crucial for safety, as collisions with pedestrians can be severe.
 
 2. **Construction Workers**:
 - **Location**: Near the construction barriers.
 - **Description**: There are construction workers near the construction barriers. They are important to pay attention","['human.pedestrian.adult', 'human.pedestrian.construction_worker', 'movable_object.barrier', 'movable_object.trafficcone', 'vehicle.bicycle', 'vehicle.car', 'vehicle.motorcycle', 'vehicle.truck']",4,3,3,4,3,4
scene-0061,8,scene-0061_sample_8.json,"As an autonomous driving labeller, I would describe the driving scene based on the provided image and the information about the camera's front view and the time intervals between the images.
 
 ### Description of the Driving Scene:
 
 1. **Traffic Lights:**
 - There are no visible traffic lights in the image.
 
 2. **Movements of Other Cars:**
 - A white van is driving in the same lane as the camera car.
 - There are no other vehicles directly in front of the camera car.
 
 3. **Pedestrians:**
 - There are no pedestrians visible in the image.
 
 4. **Lane Markings:","In the driving scene, there are several road users that you should pay attention to:
 
 1. **White Van (Location: Left side of the image, moving towards the camera)**:
 - **Description**: The white van is moving towards the camera on the left side of the road. It is important to monitor its speed and direction to ensure safe overtaking or merging.
 - **Why it's important**: Properly anticipating the van's movements can prevent collisions and ensure smooth traffic flow.
 
 2. **Orange Excavator (Location: Center-right of the image, stationary)**:
 - **Description**: The excavator is stationary","['human.pedestrian.adult', 'human.pedestrian.construction_worker', 'movable_object.barrier', 'movable_object.trafficcone', 'vehicle.bicycle', 'vehicle.car', 'vehicle.truck']",2,2,2,3,3,4
scene-0061,12,scene-0061_sample_12.json,"As an autonomous driving labeller, I would describe the driving scene based on the provided image and the information about the camera's 0.5-second interval over the past 5 seconds.
 
 ### Description of the Driving Scene:
 
 1. **Traffic Lights:**
 - There are no visible traffic lights in the image.
 
 2. **Movements of Other Cars:**
 - A white van is driving ahead of the car.
 - A white truck is parked on the right side of the road.
 - A white car is following the truck on the right side.
 
 3. **Pedestrians:**
 - There are no","In the driving scene, there are several road users that you should pay attention to:
 
 1. **White Van (Location: Middle of the image, slightly to the right)**:
 - **Description**: The white van is moving in the same direction as you. It is important to monitor its speed and direction to ensure safe overtaking or following.
 - **Why it's important**: If the van is speeding up or changing lanes, you need to adjust your speed and lane position accordingly to avoid a collision.
 
 2. **White Truck (Location: Far right of the image)**:
 - **Description**: The white truck is also","['human.pedestrian.adult', 'human.pedestrian.construction_worker', 'movable_object.barrier', 'movable_object.trafficcone', 'vehicle.bicycle', 'vehicle.car', 'vehicle.motorcycle', 'vehicle.truck']",3,3,3,3,3,4
scene-0061,16,scene-0061_sample_16.json,"As an autonomous driving labeller, I would describe the driving scene based on the provided image and the information about the camera's 0.5-second interval over the past 5 seconds.
 
 ### Description of the Driving Scene:
 
 1. **Traffic Lights:**
 - There are no visible traffic lights in the image.
 
 2. **Movements of Other Cars or Pedestrians:**
 - There are no other cars or pedestrians visible in the image.
 
 3. **Lane Markings:**
 - The road has clear lane markings, including a solid white line on the left side and a dashed white line on the right side.","In the driving scene, there are several road users that you should pay attention to:
 
 1. **Other Vehicles**:
 - **Location**: On the road ahead and to the sides.
 - **Description**: These vehicles are moving in the same direction as you. It is important to monitor their speed and direction to ensure safe overtaking or following.
 
 2. **Pedestrians**:
 - **Location**: Sidewalks and crosswalks.
 - **Description**: Pedestrians are walking along the sidewalks and crossing the street. It is crucial to be aware of their presence to avoid collisions and ensure pedestrian safety.","['human.pedestrian.adult', 'human.pedestrian.construction_worker', 'movable_object.barrier', 'movable_object.trafficcone', 'vehicle.bicycle', 'vehicle.car', 'vehicle.construction', 'vehicle.motorcycle', 'vehicle.truck']",4,3,4,2,4,4
scene-0103,0,scene-0103_sample_0.json,"As a autonomous driving labeller, I have access to the front-view camera images of a car taken at a 0.5 second interval over the past 5 seconds. Based on the images, here is a description of the driving scene:
 
 1. **Traffic Lights**: There are no visible traffic lights in the images.
 2. **Movements of Other Cars**:
 - Several cars are parked along the sides of the street.
 - A few cars are moving in the opposite direction.
 - There are no cars directly in front of the vehicle.
 3. **Pedestrians**: There are no pedestrians visible in the images","In the driving scene, there are several road users that you should pay attention to:
 
 1. **Pedestrians**:
 - **Location**: On the sidewalks and near the crosswalks.
 - **Description**: Pedestrians are walking along the sidewalks and crossing the street at the crosswalks. They are important to watch out for because they can suddenly step into the road, especially near intersections and crosswalks.
 
 2. **Bicyclists**:
 - **Location**: On the road and near the sidewalks.
 - **Description**: Bicyclists are riding along the road and near the sidewalks.","['human.pedestrian.adult', 'movable_object.trafficcone', 'vehicle.car']",2,2,4,2,3,4
scene-0103,4,scene-0103_sample_4.json,"As an autonomous driving labeller, I would describe the driving scene based on the provided image and the information about the camera's 0.5-second interval over the past 5 seconds.
 
 ### Description of the Driving Scene:
 
 1. **Traffic Lights:**
 - There are no visible traffic lights in the image.
 
 2. **Movements of Other Cars:**
 - The black SUV in front of the car is moving forward.
 - The silver sedan on the right side of the car is also moving forward.
 - There are other cars visible in the distance, but their movements are not clearly discernible due to the distance","In the driving scene, there are several road users that you should pay attention to:
 
 1. **Black SUV (Location: Left side of the image, near the center of the road)**:
 - **Description**: The black SUV is driving in the same lane as you. It is important to monitor its speed and direction to ensure safe overtaking or merging.
 - **Why it's important**: If the SUV is speeding or changing lanes abruptly, it could pose a risk of collision.
 
 2. **Silver Sedan (Location: Right side of the image, near the center of the road)**:
 - **Description**: The","['human.pedestrian.adult', 'human.pedestrian.child', 'movable_object.pushable_pullable', 'movable_object.trafficcone', 'vehicle.car']",4,2,4,4,3,4
scene-0103,8,scene-0103_sample_8.json,"As an autonomous driving labeller, I would describe the driving scene based on the provided image and the information about the camera's 0.5-second interval over the past 5 seconds.
 
 ### Current Scene:
 1. **Traffic Lights:**
 - There are no visible traffic lights in the image.
 
 2. **Movements of Other Cars:**
 - A black SUV is directly in front of the car, moving in the same direction.
 - Several cars are parked along the right side of the street.
 - A few cars are visible in the distance, moving in the same direction as the black SUV.
 
 3. **","In the driving scene, there are several road users that you should pay attention to:
 
 1. **Black SUV (Location: Center of the image, moving towards the camera)**:
 - **Description**: The black SUV is moving towards you and is in your lane. It is important to monitor its speed and direction to ensure safe overtaking or merging.
 - **Why it's important**: Properly anticipating the actions of the black SUV can prevent potential collisions or accidents.
 
 2. **Silver sedan (Location: Right side of the image, parked)**:
 - **Description**: The silver sedan is parked on the right side of the","['human.pedestrian.adult', 'human.pedestrian.child', 'movable_object.pushable_pullable', 'movable_object.trafficcone', 'vehicle.car', 'vehicle.motorcycle']",4,2,3,4,3,4
scene-0103,12,scene-0103_sample_12.json,"As an autonomous driving labeller, I would describe the driving scene based on the provided images and the information about the camera's position and timing. Here is the description:
 
 1. **Traffic Lights**: There are no visible traffic lights in the images provided.
 
 2. **Movements of Other Cars**:
 - A silver car is parked on the left side of the street.
 - A black car is driving in the opposite direction on the right side of the street.
 - There are several other cars parked along the street on both sides.
 
 3. **Pedestrians**: There are no pedestrians visible in the images.
 
 4.","In the driving scene, there are several road users that you should pay attention to:
 
 1. **Silver Car (Location: Left Lane, Front Position)**:
 - **Description**: The silver car is in the left lane and is directly in front of you. It is important to monitor its speed and direction as it may change lanes or make a turn.
 - **Why it's important**: Ensuring you maintain a safe distance and are prepared for any sudden movements or lane changes from this car can prevent collisions.
 
 2. **Black Car (Location: Right Lane, Front Position)**:
 - **Description**: The black car is","['human.pedestrian.adult', 'human.pedestrian.child', 'movable_object.pushable_pullable', 'movable_object.trafficcone', 'static_object.bicycle_rack', 'vehicle.bicycle', 'vehicle.car', 'vehicle.motorcycle', 'vehicle.truck']",4,2,3,3,3,4
scene-0103,16,scene-0103_sample_16.json,"As a autonomous driving labeller, I have access to the front-view camera images of a car taken at a 0.5 second interval over the past 5 seconds. Based on the images, here is a description of the driving scene:
 
 1. **Traffic Lights**: There are no visible traffic lights in the images.
 2. **Movements of Other Cars**: The images show several cars parked along the sides of the street. Some cars are moving, but there is no indication of any traffic congestion or sudden stops.
 3. **Pedestrians**: There are no pedestrians visible in the images.
 4. **Lane Markings**:","In the driving scene, there are several road users that you should pay attention to:
 
 1. **Pedestrians**:
 - **Location**: Sidewalks on both sides of the street.
 - **Description**: Pedestrians are walking along the sidewalks. It is important to pay attention to them because they may suddenly step onto the road, especially if they are not paying attention to their surroundings.
 
 2. **Bicyclists**:
 - **Location**: Sidewalks and bike lanes.
 - **Description**: Bicyclists are riding along the sidewalks and bike lanes. It is crucial to be","['human.pedestrian.adult', 'human.pedestrian.child', 'movable_object.pushable_pullable', 'static_object.bicycle_rack', 'vehicle.bicycle', 'vehicle.car', 'vehicle.motorcycle', 'vehicle.truck']",4,4,3,3,4,4
scene-0553,0,scene-0553_sample_0.json,"As an autonomous driving labeller, I would describe the driving scene based on the provided image and the information about the camera's 0.5-second interval over the past 5 seconds.
 
 ### Current Scene Description:
 
 1. **Traffic Lights:**
 - The traffic light in the foreground is red, indicating that vehicles must stop.
 
 2. **Other Vehicles:**
 - A black pickup truck is moving towards the intersection from the left side of the image.
 - A gray sedan is positioned at the intersection, waiting for the light to change.
 
 3. **Pedestrians:**
 - There are no pedestrians visible in the","In the driving scene, there are several road users that you should pay attention to:
 
 1. **Truck (Location: Left side of the image)**:
 - **Description**: The truck is moving in the same direction as you, but it is closer to the intersection. It is important to monitor its speed and direction to ensure safe passing and to be prepared for any sudden stops or turns.
 - **Why it's important**: Trucks can have longer stopping distances and may require more space to maneuver, so it's crucial to maintain a safe distance and be prepared for any changes in its behavior.
 
 2. **Pedestrians (","['human.pedestrian.adult', 'movable_object.barrier', 'movable_object.pushable_pullable', 'vehicle.bicycle', 'vehicle.bus.rigid', 'vehicle.car', 'vehicle.trailer', 'vehicle.truck']",4,3,3,3,3,4
scene-0553,4,scene-0553_sample_4.json,"As an autonomous driving labeller, I would describe the driving scene based on the provided image and the information about the camera's 0.5-second interval over the past 5 seconds.
 
 ### Current Scene Description:
 
 1. **Traffic Lights:**
 - The traffic light in the foreground is red, indicating that vehicles must stop.
 
 2. **Other Vehicles:**
 - A white bus is stopped at the intersection, facing the same direction as the viewer.
 - A black car is also stopped at the intersection, facing the same direction as the viewer.
 - Another white bus is visible on the left side of the image,","In the driving scene, there are several road users that you should pay attention to:
 
 1. **Black Car (Location: Left side of the image, moving towards the intersection)**:
 - **Description**: The black car is moving towards the intersection. It is important to monitor its speed and direction to ensure safe navigation through the intersection.
 - **Why it's important**: The black car might not stop at the red light, so you need to be prepared to react quickly if it continues through the intersection.
 
 2. **White Bus (Location: Right side of the image, stopped at the intersection)**:
 - **Description**:","['human.pedestrian.adult', 'movable_object.barrier', 'movable_object.pushable_pullable', 'vehicle.bus.rigid', 'vehicle.car', 'vehicle.trailer', 'vehicle.truck']",4,3,4,4,3,4
